product_image,product_name,product_price,product_discount
//images.samsung.com/is/image/samsung/p6pim/in/sm-t970nznainu/gallery/in-galaxy-tab-s7-plus-wifi-t970-sm-t970nznainu-340257098?$PD_GALLERY_L_JPG$,Galaxy Tab S7+ (Wi-Fi),₹ 499,11% off
//images.samsung.com/is/image/samsung/p6pim/in/sm-t733nzsainu/gallery/in-galaxy-tab-s7-fe-t733-sm-t733nzsainu-497681516?$PD_GALLERY_L_JPG$,Galaxy Tab S7 FE (Wi-Fi),₹ 399,50% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-watch4-sm-r860nzkainu-481079032?$2052_1641_PNG$,Galaxy Watch4 Bluetooth (40mm),₹ 239,39% off
//images.samsung.com/is/image/samsung/in/galaxy-note20/gallery/in-galaxy-buds-live-r180-sm-r180nzkainu-frontmysticblack-275652064?$684_547_PNG$,Galaxy Buds Live,₹ 79,49% off
//images.samsung.com/is/image/samsung/p6pim/in/galaxy-s21/gallery/in-galaxy-buds-pro-r190-sm-r190nzkainu-363149152?$2052_1641_PNG$,Galaxy Buds Pro,₹ 109,14% off
//images.samsung.com/is/image/samsung/in/galaxy-note20/gallery/in-galaxy-watch3-r840-sm-r840nzsains-frontmysticsilver-275071851?$2052_1641_PNG$,Galaxy Watch3 Bluetooth (45mm),₹ 179,9% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-buds2-r177-sm-r177nzkainu-481740606?$2052_1641_PNG$,Galaxy Buds2,₹ 119,44% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-watch4-398887-sm-r875fzsainu-481111556?$2052_1641_PNG$,Galaxy Watch4 LTE (44mm),₹ 319,29% off
//images.samsung.com/is/image/samsung/in/galaxy-note20/gallery/in-galaxy-watch3-r855-sm-r855fzdains-frontmysticbronze-275071489?$2052_1641_PNG$,Galaxy Watch3 LTE (41mm),₹ 196,18% off
//images.samsung.com/is/image/samsung/in-watch-active2-r820nz-sm-r820nzkainu-frontblack-189191514?$2052_1641_PNG$,Galaxy Watch Active2 BT (Aluminium),₹ 1,16% off
//images.samsung.com/is/image/samsung/p6pim/in/2110/gallery/in-galaxy-s21-fe-smart-clear-view-cover-ef-zg990cbegin-530688674?$2052_1641_PNG$,Galaxy S21 FE 5G Smart Clear View Cover,₹ 31,13% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-flip3-5g-silicone-cover-with-ring-ef-pf711tnegin-479009730?$2052_1641_PNG$,Galaxy Z Flip3 5G Silicone Cover with Ring,₹ 30,5% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-fold3-5g-aramid-cover-ef-xf926sbegin-481639204?$2052_1641_PNG$,Galaxy Z Fold3 5G Aramid Cover,₹ 53,24% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-watch4-hybrid-leather-band-et-shr89lbegin-481703695?$2052_1641_PNG$,"Galaxy Watch4 Hybrid Leather Band (20mm, M/L)",₹ 39,27% off
//images.samsung.com/is/image/samsung/in-cable-combo-dg930-ep-dg930ibegin-frontblack-119451395?$PD_GALLERY_L_SHOP_JPG$,"
                      Cable (Type-C)
                    ",₹ 5,11% off
//images.samsung.com/is/image/samsung/p6pim/in/ep-ta800nbegin/gallery/in-wall-charger-for-super-fast-charging-25w-ep-ta800nbegin-372451893?$2052_1641_PNG$,25W Travel Adapter,₹ 12,16% off
//images.samsung.com/is/image/samsung/p6pim/in/eo-b3300blegin/gallery/in-samsung-level-u2-eo-b3300blegin-372452016?$684_547_PNG$,Stereo Headset (Wireless) - Level U2,₹ 21,10% off
//images.samsung.com/is/image/samsung/p6pim/in/galaxy-s21/gallery/in-wireless-charger-duo-ep-p4300bbegin-363230347?$2052_1641_PNG$,Wireless Charger Duo,₹ 33,30% off
//images.samsung.com/is/image/samsung/in-c-to-c-cable-da705b-ep-da705bbegin-frontblack-182246144?$2052_1641_PNG$,C to C Cable,₹,14% off
//images.samsung.com/is/image/samsung/in-25w-changer-ta800-ep-ta800xwngin-frontwhite-189165321?$2052_1641_PNG$,25W Travel Adapter + C to C Cable,₹ ,13% off
//images.samsung.com/is/image/samsung/p6pim/in/2108/gallery/in-galaxy-z-fold-5g-flip-cover-with-pen-ef-ff92pcbegin-481129799?$2052_1641_PNG$,Galaxy Z Fold3 5G Flip Cover with Pen,₹ 60,17% Off
//images.samsung.com/is/image/samsung/p6pim/in/ep-ta200nbegin/gallery/in-15w-traveladapter-epta200-ep-ta200nbegin-372452029?$2052_1641_PNG$,15W Travel Adapter,₹ 8,21% Off
//images.samsung.com/is/image/samsung/p6pim/in/2110/gallery/in-galaxy-s21-fe-slim-strap-cover-ef-xg990cbegin-530688308?$2052_1641_PNG$,Galaxy S21 FE 5G Slim Strap Cover,₹ 15,17% Off
//images.samsung.com/is/image/samsung/in-charger-ta845-ep-ta845xwngin-frontwhite-180726718?$2052_1641_PNG$,45W Travel Adapter,₹ ,16% Off
//images.samsung.com/is/image/samsung/p6pim/in/gp-tyr870saasi/gallery/in-milanese-band-galaxy-watch4-gp-tyr870saasi-530446826?$2052_1641_PNG$,Milanese Band for Galaxy Watch4,₹ 59,17% Off
//images.samsung.com/is/image/samsung/p6pim/in/ej-b3400ubngin/gallery/in-samsung-smart-keyboard-trio-500-ej-b3400ubngin-511960635?$2052_1641_PNG$,Smart Keyboard Trio 500,₹ 34,15% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa65qn90aaklxl/gallery/in-neo-qled-qn90a-384003-qa65qn90aaklxl-425646555?$684_547_PNG$,"Neo QLED 4K Smart TV (65"") QN90A",₹ 2499,22% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa65qn800akxxl/gallery/in-neo-qled-8k-qn800a-384001-qa65qn800akxxl-425646208?$684_547_PNG$,"Neo QLED 8K Smart TV (65"") QN800A",₹ 3749,24% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa55qn90aaklxl/gallery/in-neo-qled-qn90a-384003-qa55qn90aaklxl-425646525?$720_576_PNG$,"Neo QLED 4K Smart TV (55"") QN90A",₹ 1759,16% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa65qn85aaklxl/gallery/in-neo-qled-qn85a-qa65qn85aaklxl-422089677?$684_547_PNG$,"Neo QLED 4K Smart TV (65"") QN85A",₹ 2299,39% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa55qn85aaklxl/gallery/in-neo-qled-qn85a-384004-qa55qn85aaklxl-425664732?$720_576_PNG$,"Neo QLED 4K Smart TV (55"") QN85A",₹ 1609,38% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa85qn900akxxl/gallery/in-neo-qled-8k-qn900a-qa85qn900akxxl-426823787?$684_547_PNG$,"Neo QLED 8K Smart TV (85"") QN900A",₹ 13499,34% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa43q60aaklxl/gallery/in-qled-q60a-qa43q60aaklxl-422125784?$2052_1641_PNG$,"QLED 4K Smart TV (43"") QN60A",₹ 639,46% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa50q60aaklxl/gallery/in-qled-q60a-384006-qa50q60aaklxl-422294953?$2052_1641_PNG$,"QLED 4K Smart TV (50"") QN60A",₹ 759,45% Off
//images.samsung.com/is/image/samsung/p6pim/in/qa65qn700akxxl/gallery/in-neo-qled-8k-qn700a-qa65qn700akxxl-464369858?$2052_1641_PNG$,"Neo QLED 8K Smart TV (65"") QN700A",₹ 3249,37% Off
